ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comp	4.23	0.66	0.57	0.74	0.22
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	comm	0.29	0.09	0.06	0.1	0.02
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	serial	5.96	0.71	0.79	0.61	0.22
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	other	0.04	0.02	0.03	0.03	0.02
3000000	36	1408	5000	4	2	10	1	50	0	0	mvapich2	interval	500	total	10.18	0.0	0.0	0.0	0.0
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comp	7.52	1.65	1.74	1.7	0.22
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	comm	0.68	0.13	0.11	0.27	0.09
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	serial	13.1	1.65	1.81	1.72	0.19
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	other	0.1	0.03	0.04	0.06	0.02
3000000	72	1408	5000	8	4	10	1	50	0	0	mvapich2	interval	500	total	19.71	0.0	0.0	0.0	0.0
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comp	5.65	1.64	1.6	1.86	0.29
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm	5.37	0.95	0.94	0.99	0.04
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial	9.13	1.05	1.15	1.03	0.28
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	other	0.04	0.02	0.02	0.05	0.01
3000000	144	1408	5000	16	8	10	1	50	0	0	mvapich2	interval	500	total	16.98	0.0	0.0	0.0	0.0
3000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comp	0.6	1.76	3.14	1.78	0.15
3000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	comm	7.26	0.93	1.0	0.9	0.13
3000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	serial	12.72	1.49	1.66	2.97	0.14
3000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	other	0.02	0.02	0.01	0.03	0.0
3000000	288	1408	5000	32	16	10	1	50	0	0	mvapich2	interval	500	total	18.17	0.0	0.0	0.0	0.0
6000000	288	1408	5000	64	32	10	1	50	0	0	mvapich2	interval	500	comp	0.24	0.15	0.25	0.18	0.02
6000000	288	1408	5000	64	32	10	1	50	0	0	mvapich2	interval	500	comm	1.63	0.25	0.24	0.25	0.0
6000000	288	1408	5000	64	32	10	1	50	0	0	mvapich2	interval	500	serial	0.08	0.1	0.06	0.0	0.03
6000000	288	1408	5000	64	32	10	1	50	0	0	mvapich2	interval	500	other	0.02	0.01	0.01	0.03	0.01
6000000	288	1408	5000	64	32	10	1	50	0	0	mvapich2	interval	500	total	1.93	0.0	0.0	0.0	0.0
