ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	reportonly	500	comp	1.8	5.47	7.72	2.88	3.8
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	reportonly	500	comm	6.63	8.97	0.13	11.59	4.36
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	reportonly	500	serial	0.32	3.08	3.32	2.06	0.75
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	reportonly	500	other	0.03	0.43	0.39	0.43	0.08
2000000	48	1000	5000	16	8	10	1	50	0	2	mvapich2	reportonly	500	total	8.69	0.0	0.0	0.0	0.0
