ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
16000000	21	256	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comp	34.12	0.26	0.76	0.41	0.32
16000000	21	256	5000	4	2	10	1	50	0	2	mvapich2	interval	500	comm	0.37	0.03	0.05	0.06	0.03
16000000	21	256	5000	4	2	10	1	50	0	2	mvapich2	interval	500	serial	3.27	0.29	0.36	0.84	0.32
16000000	21	256	5000	4	2	10	1	50	0	2	mvapich2	interval	500	other	0.01	0.02	0.01	0.03	0.01
16000000	21	256	5000	4	2	10	1	50	0	2	mvapich2	interval	500	total	37.72	0.0	0.0	0.0	0.0
16000000	21	256	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comp	8.45	3.49	3.9	2.93	0.24
16000000	21	256	5000	8	4	10	1	50	0	2	mvapich2	interval	500	comm	0.16	0.05	0.04	0.03	0.01
16000000	21	256	5000	8	4	10	1	50	0	2	mvapich2	interval	500	serial	11.3	3.55	3.04	3.94	0.22
16000000	21	256	5000	8	4	10	1	50	0	2	mvapich2	interval	500	other	0.04	0.03	0.02	0.08	0.02
16000000	21	256	5000	8	4	10	1	50	0	2	mvapich2	interval	500	total	18.49	0.0	0.0	0.0	0.0
16000000	21	256	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comp	1.05	0.74	0.83	1.45	0.07
16000000	21	256	5000	16	8	10	1	50	0	2	mvapich2	interval	500	comm	0.02	0.02	0.03	0.03	0.01
16000000	21	256	5000	16	8	10	1	50	0	2	mvapich2	interval	500	serial	1.08	0.76	1.45	0.82	0.06
16000000	21	256	5000	16	8	10	1	50	0	2	mvapich2	interval	500	other	0.01	0.01	0.01	0.03	0.01
16000000	21	256	5000	16	8	10	1	50	0	2	mvapich2	interval	500	total	1.26	0.0	0.0	0.0	0.0
16000000	21	256	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comp	1.85	4.76	4.39	5.18	0.5
16000000	21	256	5000	32	16	10	1	50	0	2	mvapich2	interval	500	comm	0.02	0.24	0.22	0.29	0.03
16000000	21	256	5000	32	16	10	1	50	0	2	mvapich2	interval	500	serial	6.2	5.1	5.53	4.63	0.48
16000000	21	256	5000	32	16	10	1	50	0	2	mvapich2	interval	500	other	0.01	0.12	0.07	0.66	0.07
16000000	21	256	5000	32	16	10	1	50	0	2	mvapich2	interval	500	total	7.25	0.0	0.0	0.0	0.0
16000000	21	256	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comp	0.68	1.04	0.9	1.67	0.14
16000000	21	256	5000	64	32	10	1	50	0	2	mvapich2	interval	500	comm	0.04	0.1	0.09	0.12	0.01
16000000	21	256	5000	64	32	10	1	50	0	2	mvapich2	interval	500	serial	0.47	1.05	1.35	0.93	0.12
16000000	21	256	5000	64	32	10	1	50	0	2	mvapich2	interval	500	other	0.01	0.01	0.04	0.07	0.02
16000000	21	256	5000	64	32	10	1	50	0	2	mvapich2	interval	500	total	0.57	0.0	0.0	0.0	0.0
