ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comp	54.14	65.66	59.28	73.49	6.15
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	comm	4.53	5.49	4.93	6.11	0.43
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	serial	22.47	27.24	19.57	33.58	6.06
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	other	1.33	1.61	0.97	2.29	0.53
8000000	21	256	5000	16	8	10	1	50	0	0	mvapich2	interval	500	total	82.46	100.0	100.0	100.0	0.0
