ppb	b	s	t	n	N	omp	red	mtw	seed	approx	mpi	lb	lba	type	avg_time(sec)	percent	min%	max%	std
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comp	75.8	36.81	33.18	46.69	4.11
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	comm	12.12	5.88	5.48	6.66	0.37
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	serial	116.08	55.75	45.04	60.13	4.49
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	other	3.2	1.56	1.02	2.26	0.48
2000000	72	1408	5000	16	8	10	1	50	0	0	mvapich2	reportonly	500	total	207.19	100.0	100.0	100.0	0.0
